"Label";"Annual national accounts base 2014 - Gross domestic product - Change in volume - Chained base year price (unbalanced)";"Codes"
"idBank";"010548503";""
"Last update";"07/06/2022 14:00";""
"Period";"";""
"2021";"6.817";"P"
"2020";"-7.785";"SD"
"2019";"1.843";"A"
"2018";"1.865";"A"
"2017";"2.291";"A"
"2016";"1.095";"A"
"2015";"1.113";"A"
"2014";"0.956";"A"
"2013";"0.576";"A"
"2012";"0.313";"A"
"2011";"2.193";"A"
"2010";"1.949";"A"
"2009";"-2.873";"A"
"2008";"0.255";"A"
"2007";"2.425";"A"
"2006";"2.449";"A"
"2005";"1.663";"A"
"2004";"2.83";"A"
"2003";"0.823";"A"
"2002";"1.136";"A"
"2001";"1.984";"A"
"2000";"3.924";"A"
"1999";"3.421";"A"
"1998";"3.589";"A"
"1997";"2.336";"A"
"1996";"1.413";"A"
"1995";"2.107";"A"
"1994";"2.358";"A"
"1993";"-0.629";"A"
"1992";"1.599";"A"
"1991";"1.048";"A"
"1990";"2.924";"A"
"1989";"4.344";"A"
"1988";"4.743";"A"
"1987";"2.562";"A"
"1986";"2.337";"A"
"1985";"1.623";"A"
"1984";"1.514";"A"
"1983";"1.241";"A"
"1982";"2.505";"A"
"1981";"1.069";"A"
"1980";"1.579";"A"
"1979";"3.55";"A"
"1978";"3.979";"A"
"1977";"3.464";"A"
"1976";"4.357";"A"
"1975";"-0.96";"A"
"1974";"4.301";"A"
"1973";"6.345";"A"
"1972";"4.511";"A"
"1971";"5.317";"A"
"1970";"6.109";"A"
"1969";"7.109";"A"
"1968";"4.491";"A"
"1967";"4.921";"A"
"1966";"5.252";"A"
"1965";"4.861";"A"
"1964";"6.652";"A"
"1963";"6.234";"A"
"1962";"6.844";"A"
"1961";"4.98";"A"
"1960";"7.992";"A"
"1959";"2.671";"A"
"1958";"2.696";"A"
"1957";"5.517";"A"
"1956";"4.988";"A"
"1955";"5.312";"A"
"1954";"5.578";"A"
"1953";"3.456";"A"
"1952";"3.114";"A"
"1951";"5.792";"A"
"1950";"8.566";"A"
"1949";"0.0";"A"
